timeindex;GHM-efficiency-profile
2011-01-01 00:00:00;3.776
2011-01-01 01:00:00;3.78
2011-01-01 02:00:00;3.778
2011-01-01 03:00:00;3.79
2011-01-01 04:00:00;3.786
2011-01-01 05:00:00;3.793
2011-01-01 06:00:00;3.796
2011-01-01 07:00:00;3.814
2011-01-01 08:00:00;3.83
2011-01-01 09:00:00;3.827
2011-01-01 10:00:00;4.278
2011-01-01 11:00:00;4.287
2011-01-01 12:00:00;4.304
2011-01-01 13:00:00;4.296
2011-01-01 14:00:00;4.297
2011-01-01 15:00:00;4.277
2011-01-01 16:00:00;3.838
2011-01-01 17:00:00;3.836
2011-01-01 18:00:00;4.258
2011-01-01 19:00:00;4.259
2011-01-01 20:00:00;3.841
2011-01-01 21:00:00;3.834
2011-01-01 22:00:00;3.832
2011-01-01 23:00:00;3.829
2011-01-02 00:00:00;3.818
2011-01-02 01:00:00;3.804
2011-01-02 02:00:00;3.786
2011-01-02 03:00:00;3.788
2011-01-02 04:00:00;3.794
2011-01-02 05:00:00;3.785
2011-01-02 06:00:00;3.788
2011-01-02 07:00:00;3.784
2011-01-02 08:00:00;3.79
2011-01-02 09:00:00;3.802
2011-01-02 10:00:00;3.813
2011-01-02 11:00:00;3.824
2011-01-02 12:00:00;3.824
2011-01-02 13:00:00;3.823
2011-01-02 14:00:00;3.816
2011-01-02 15:00:00;3.81
2011-01-02 16:00:00;3.792
2011-01-02 17:00:00;3.785
2011-01-02 18:00:00;3.782
2011-01-02 19:00:00;3.78
2011-01-02 20:00:00;3.782
2011-01-02 21:00:00;3.779
2011-01-02 22:00:00;3.768
2011-01-02 23:00:00;3.77
2011-01-03 00:00:00;3.764
2011-01-03 01:00:00;3.763
2011-01-03 02:00:00;3.764
2011-01-03 03:00:00;3.762
2011-01-03 04:00:00;3.758
2011-01-03 05:00:00;3.754
2011-01-03 06:00:00;3.753
2011-01-03 07:00:00;3.753
2011-01-03 08:00:00;3.754
2011-01-03 09:00:00;3.762
2011-01-03 10:00:00;3.768
2011-01-03 11:00:00;3.774
2011-01-03 12:00:00;3.762
2011-01-03 13:00:00;3.766
2011-01-03 14:00:00;3.756
2011-01-03 15:00:00;3.716
2011-01-03 16:00:00;3.676
2011-01-03 17:00:00;3.657
2011-01-03 18:00:00;3.641
2011-01-03 19:00:00;3.64
2011-01-03 20:00:00;3.623
2011-01-03 21:00:00;3.632
